EmployeeID,FirstName,LastName,Email,Department,JobTitle,City,Age,MonthlySalary,EmploymentStatus,HireDate
1001,Thabo, mokoena , john.smith@gmail.com ,IT,Coordinator,Cape Town,55,15000,On Leave,02-04-19
1002,Thabo,Jones,,Finance,Analyst,Johannesburg,25,22000,On Leave,12-02-24
1003,Thabo,Jones,Nomsa.Khumalo@yahoo.com,Customer Support,Manager,Pretoria,25,48000,On Leave,01-10-24
1004,SARAH,Dlamini,Nomsa.Khumalo@yahoo.com,Customer Support,Administrator,Durban,29,22000,Active,13-02-21
1005,Thabo,Dlamini,,Finance,Specialist,Durban,41,35000,Active,10-10-21
1006,John,Dlamini,,Finance,Manager,Durban,-1,62000,Resigned,25-02-23
1007,Nomsa, mokoena ,thabo.dlamini@gmail.com,Finance,Coordinator,Durban,22,22000,Active,22-06-24
1008,Sipho,Smith, john.smith@gmail.com ,IT,Specialist,Durban,25,35000,On Leave,06-04-22
1009,John, mokoena ,Nomsa.Khumalo@yahoo.com,Operations,Coordinator,Cape Town,34,48000,Resigned,20-10-18
1010,Nomsa, mokoena , john.smith@gmail.com ,Finance,Coordinator,Johannesburg,-1,35000,Resigned,31-03-24
1011,Thabo,Mokoena,,Customer Support,Specialist,Cape Town,55,48000,Resigned,01-01-21
1012,Nomsa,Khumalo,Nomsa.Khumalo@yahoo.com,IT,Manager,Bloemfontein,29,62000,Resigned,23-02-23
1013,Lerato,Khumalo,Nomsa.Khumalo@yahoo.com,IT,Manager,Pretoria,22,15000,Active,18-07-24
1014, john ,Mokoena,,Operations,Analyst,Pretoria,34,62000,Resigned,19-09-19
1015,Sipho,Jones,thabo.dlamini@gmail.com,Customer Support,Analyst,Bloemfontein,-1,35000,On Leave,08-12-23
1016,Thabo,Khumalo,,IT,Administrator,Johannesburg,55,35000,On Leave,25-10-21
1017,John,Dlamini, john.smith@gmail.com ,Customer Support,Manager,Bloemfontein,25,22000,Resigned,02-01-20
1018,John,Jones,thabo.dlamini@gmail.com,Operations,Specialist,Pretoria,22,15000,Resigned,24-10-19
1019,Nomsa,Dlamini,Nomsa.Khumalo@yahoo.com,Operations,Analyst,Johannesburg,55,48000,Active,13-06-21
1020,SARAH,Mokoena,Nomsa.Khumalo@yahoo.com,Customer Support,Administrator,Bloemfontein,25,35000,On Leave,22-12-23
1021,Lerato,Mokoena,,Customer Support,Coordinator,Durban,34,35000,Resigned,20-10-24
1022,Lerato,Dlamini,Nomsa.Khumalo@yahoo.com,IT,Analyst,Durban,22,62000,On Leave,21-10-23
1023,John,Mokoena,thabo.dlamini@gmail.com,Finance,Analyst,Cape Town,22,15000,Resigned,31-07-20
1024,John,Mokoena, john.smith@gmail.com ,Customer Support,Administrator,Cape Town,41,22000,On Leave,18-10-18
1025,John,Smith,Nomsa.Khumalo@yahoo.com,Marketing,Administrator,Cape Town,22,15000,On Leave,27-05-24
1026,Sipho,Smith,,Marketing,Analyst,Johannesburg,22,48000,On Leave,01-11-22
1027,SARAH,Dlamini,Nomsa.Khumalo@yahoo.com,IT,Coordinator,Bloemfontein,34,22000,Resigned,21-10-21
1028,Sipho,Smith,Nomsa.Khumalo@yahoo.com,Finance,Administrator,Bloemfontein,22,15000,On Leave,22-01-20
1029,SARAH,Dlamini,thabo.dlamini@gmail.com,IT,Coordinator,Pretoria,34,48000,Active,24-01-24
1030,Thabo,Mokoena,,Finance,Administrator,Durban,-1,48000,Resigned,01-07-22
1031, john , mokoena ,,Customer Support,Administrator,Cape Town,25,35000,Active,29-09-22
1032,John, mokoena ,,Finance,Specialist,Johannesburg,22,62000,Resigned,28-08-18
1033,SARAH,Jones,Nomsa.Khumalo@yahoo.com,Finance,Manager,Johannesburg,-1,22000,Active,22-08-23
1034,Thabo, mokoena ,Nomsa.Khumalo@yahoo.com,Marketing,Analyst,Bloemfontein,25,62000,On Leave,03-09-24
1035,John,Dlamini,,Customer Support,Manager,Bloemfontein,41,35000,Resigned,12-06-18
1036, john , mokoena , john.smith@gmail.com ,IT,Specialist,Pretoria,25,35000,Resigned,16-04-20
1037,SARAH,Dlamini,thabo.dlamini@gmail.com,Marketing,Manager,Bloemfontein,22,15000,On Leave,19-07-21
1038,John,Khumalo,Nomsa.Khumalo@yahoo.com,Human Resources,Analyst,Cape Town,29,35000,Active,23-05-20
